number,value,datetime_start,datetime_complete,duration,params_dropout,params_embDim,params_hiddenDim,params_learningRate,params_teacherForcingDecay,params_tokenizationMethod,params_vocabSize,user_attrs_exemplesTraduction,user_attrs_resourceConstructionSeconds,user_attrs_tokenizationConfig,user_attrs_vocabSizeObtained,state,durationSeconds
0,11.433171434250353,2026-09-11 14:41:20.065165,2026-09-11 15:17:38.727544,0 days 00:36:18.662379,0.0,256,1024,0.002620863021537752,1.0,unigram,6392,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': 'it may bring us what we have a vaccine of the idea', 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""this is someone when i 'm still shopping"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i ca n't absorbw to ase in the computer wide awakeptoms of course that writer"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",2.39715920004528,unigram6392,6392,COMPLETE,2178.662379
1,7.594708975747075,2026-09-11 15:17:38.762200,2026-09-11 15:35:07.897620,0 days 00:17:29.135420,0.15000000000000002,128,512,0.0013433656868034295,0.8099999999999999,bpe,3091,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': 'we can happen the the the of of the of the of the of the of the of this all the', 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""it 's a dirtyle oftersters"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i ca n'tt have dad with at that at that at that at and mum at and and and to at the"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",3.7605903999647126,bpe3091,3091,COMPLETE,1049.13542
2,11.35275291762111,2026-09-11 15:35:07.927894,2026-09-11 16:01:57.974405,0 days 00:26:50.046511,0.5,256,768,0.002287886352244589,0.95,unigram,3198,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""it may be dislikely that we ca n't even know what we 've been able to do this for another one"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""it 's a show when they want to't ride"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i ca n't concentr with with the cewing with myss i 've been told anyone with this document to this news"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",2.565185100014787,unigram3198,3198,COMPLETE,1610.046511
3,,2026-09-11 16:01:58.006665,2026-09-11 16:37:57.402092,0 days 00:35:59.395427,0.15000000000000002,256,1024,0.002030735638034424,0.86,bpe,6106,,4.619533599994611,bpe6106,6106,FAIL,2159.395427
4,12.098983507488311,2026-09-13 14:56:07.490848,2026-09-13 15:50:33.214466,0 days 00:54:25.723618,0.0,256,1024,0.002620863021537752,1.0,unigram,6392,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': 'he may not come straight just may see us what else can see us', 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""he 's a neck on me when was lying"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i ca n't make matter what happens with this matter"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",2.976178999990225,unigram6392,6392,COMPLETE,3265.723618
5,2.5934718180042435,2026-09-13 15:50:33.249866,2026-09-13 15:52:46.543368,0 days 00:02:13.293502,0.15000000000000002,128,512,0.0013433656868034295,0.8099999999999999,bpe,3091,,3.8200353999854997,bpe3091,3091,PRUNED,133.293502
6,5.851879506374142,2026-09-13 15:52:46.574038,2026-09-13 15:56:27.166155,0 days 00:03:40.592117,0.5,256,768,0.002287886352244589,0.95,unigram,3198,,2.551783200004138,unigram3198,3198,PRUNED,220.592117
7,11.618276183895492,2026-09-13 15:56:27.272811,2026-09-13 16:30:13.551341,0 days 00:33:46.278530,0.15000000000000002,256,1024,0.002030735638034424,0.86,bpe,6106,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""there 's a man we can get rather the next time we do n't know us"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""it 's a fun-hand-hat-headed"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i ca n't put this up with so much in that stuff can pek this software to theware store"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",4.242073999950662,bpe6106,6106,COMPLETE,2026.27853
8,3.6356304813403657,2026-09-13 16:30:13.586945,2026-09-13 16:32:16.497214,0 days 00:02:02.910269,0.0,256,256,0.0034817260182704616,0.7999999999999999,bpe,7818,,3.8817615000298247,bpe7818,7818,PRUNED,122.910269
9,6.265192630802431,2026-09-13 16:32:16.526701,2026-09-13 16:38:55.406717,0 days 00:06:38.880016,0.4,256,1024,0.0017756602567007328,0.76,bpe,6973,,4.498364700004458,bpe6973,6973,PRUNED,398.880016
10,3.875478091224398,2026-09-13 16:38:55.502495,2026-09-13 16:40:36.777711,0 days 00:01:41.275216,0.15000000000000002,128,256,0.00323261618789215,0.71,unigram,6241,,2.552936999942176,unigram6241,6241,PRUNED,101.275216
