number,value,datetime_start,datetime_complete,duration,params_dropout,params_embDim,params_hiddenDim,params_learningRate,params_teacherForcingDecay,params_tokenizationMethod,params_vocabSize,user_attrs_exemplesTraduction,user_attrs_resourceConstructionSeconds,user_attrs_tokenizationConfig,user_attrs_vocabSizeObtained,state,durationSeconds
0,0.6921056920880031,2026-09-11 11:11:14.389686,2026-09-11 11:24:43.424776,0 days 00:13:29.035090,0.0,256,1024,0.002620863021537752,1.0,unigram,6392,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""i 'll try to help you"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""i 'll try to help you"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i 'll try to help you"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",24.717897700029425,unigram6392,6392,COMPLETE,809.03509
1,0.19672015775298599,2026-09-11 11:24:43.459787,2026-09-11 11:29:17.787450,0 days 00:04:34.327663,0.15000000000000002,128,512,0.0013433656868034295,0.8099999999999999,bpe,3091,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""i 'm beginning to be"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""i 'm beginning to be"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i 'm beginning to be"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",5.53161689999979,bpe3091,3091,COMPLETE,274.327663
2,0.5449699882429474,2026-09-11 11:29:17.814448,2026-09-11 11:43:33.976293,0 days 00:14:16.161845,0.5,256,768,0.002287886352244589,0.95,unigram,3198,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""i do n't tell anyone what you 're ok"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""i do n't tell anyone what you 're ok"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i do n't tell anyone what you 're ok"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",17.67163910000818,unigram3198,3198,COMPLETE,856.161845
3,0.1847264020297346,2026-09-11 11:43:34.005484,2026-09-11 11:48:00.709322,0 days 00:04:26.703838,0.15000000000000002,256,1024,0.002030735638034424,0.86,bpe,6106,,5.538525900046807,bpe6106,6106,PRUNED,266.703838
4,0.22644415512688784,2026-09-11 11:48:00.810707,2026-09-11 11:55:32.534049,0 days 00:07:31.723342,0.0,256,256,0.0034817260182704616,0.7999999999999999,bpe,7818,,5.53784640005324,bpe7818,7818,PRUNED,451.723342
5,0.07037427951869546,2026-09-11 11:55:32.658681,2026-09-11 12:00:20.434078,0 days 00:04:47.775397,0.4,256,1024,0.0017756602567007328,0.76,bpe,6973,,5.434129100001883,bpe6973,6973,PRUNED,287.775397
6,0.2908615307049584,2026-09-11 12:00:20.469386,2026-09-11 12:06:11.097362,0 days 00:05:50.627976,0.15000000000000002,128,256,0.00323261618789215,0.71,unigram,6241,,16.512566199991852,unigram6241,6241,PRUNED,350.627976
7,0.6174699238148095,2026-09-11 12:06:11.128562,2026-09-11 12:11:59.906340,0 days 00:05:48.777778,0.4,128,256,0.0027901885264500596,0.85,unigram,6378,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""i 's a cas"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""i 's a cas"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i 's a cas"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",16.443587599962484,unigram6378,6378,COMPLETE,348.777778
8,0.21144190584582065,2026-09-11 12:11:59.934539,2026-09-11 12:13:18.205758,0 days 00:01:18.271219,0.2,128,512,0.0011896326393433525,0.9299999999999999,bpe,2152,,5.117647300008684,bpe2152,2152,PRUNED,78.271219
9,0.19672015775298599,2026-09-11 12:13:18.234604,2026-09-11 12:15:23.371019,0 days 00:02:05.136415,0.45,128,256,0.0012962502222244835,0.86,bpe,3738,,5.161475899978541,bpe3738,3738,PRUNED,125.136415
