config,lang,part,longueur_moyenne,longueur_mediane,longueur_p95,longueur_p99,longueur_max,ratio_tokens_mots,vocab_effectif,taux_oov,couverture
full,fr,train,7.435796819461504,7.0,14.0,21.0,40.0,1.0,35278,0.0,1.0
full,en,train,7.016565757579052,6.0,13.0,19.0,41.0,1.0,23361,0.0,1.0
full,fr,val,7.408362333934513,7.0,14.0,21.0,40.0,1.0,13903,0.012052323886917314,0.9879476761130827
full,en,val,6.9961134960753935,6.0,13.0,19.0,40.0,1.0,9514,0.00873950678246725,0.9912604932175327
full,fr,test,7.403876812511071,7.0,14.0,21.0,40.0,1.0,13983,0.011832701595124735,0.9881672984048753
full,en,test,6.9786927145279245,6.0,13.0,19.0,40.0,1.0,9577,0.00870268369008293,0.991297316309917
words95,fr,train,7.435796819461504,7.0,14.0,21.0,40.0,1.0,6750,0.049997003235044316,0.9500029967649557
words95,en,train,7.016565757579052,6.0,13.0,19.0,41.0,1.0,3517,0.04999976762307844,0.9500002323769215
words95,fr,val,7.408362333934513,7.0,14.0,21.0,40.0,1.0,6376,0.05308508632069811,0.9469149136793019
words95,en,val,6.9961134960753935,6.0,13.0,19.0,40.0,1.0,3478,0.05289453045574694,0.947105469544253
words95,fr,test,7.403876812511071,7.0,14.0,21.0,40.0,1.0,6381,0.05466557750214472,0.9453344224978553
words95,en,test,6.9786927145279245,6.0,13.0,19.0,40.0,1.0,3473,0.053398216675067174,0.9466017833249328
bpe4k,fr,train,9.760291096448798,9.0,19.0,30.0,86.0,1.3126086327296436,3962,0.0,1.0
bpe4k,en,train,8.219028881376566,7.0,16.0,24.070000000006985,66.0,1.1713748812941225,3952,0.0,1.0
bpe4k,fr,val,9.748291716412224,9.0,19.0,30.0,65.0,1.315849748838485,3885,2.605788498570725e-05,0.9999739421150143
bpe4k,en,val,8.214468971473568,7.0,16.0,25.0,57.0,1.174147471461353,3824,4.638520126538829e-05,0.9999536147987346
bpe4k,fr,test,9.746919047498546,9.0,19.0,30.0,75.0,1.3164615368840553,3883,1.2981314695627115e-05,0.9999870186853044
bpe4k,en,test,8.19735809904598,7.0,16.0,24.0,58.0,1.1746266004779224,3819,1.852223439887632e-05,0.9999814777656011
bpe8k,fr,train,9.041903540332838,8.0,17.0,27.0,75.0,1.2159965851497871,7869,0.0,1.0
bpe8k,en,train,7.725186690870355,7.0,15.0,22.0,56.0,1.1009925592909715,7753,0.0,1.0
bpe8k,fr,val,9.041456041862473,8.0,17.0,27.0,58.0,1.2204392326287095,7541,2.8095017348673213e-05,0.9999719049826513
bpe8k,en,val,7.736098762923261,7.0,14.0,22.0,52.0,1.105770906555901,7136,4.925348140024364e-05,0.9999507465185997
bpe8k,fr,test,9.041070931497837,8.0,17.0,26.0,65.0,1.221126601704155,7567,1.3994782744992666e-05,0.999986005217255
bpe8k,en,test,7.718753953994484,7.0,15.0,22.0,52.0,1.1060458268818647,7091,1.967071227649153e-05,0.9999803292877235
unigram4k,fr,train,9.656651847342848,8.0,19.0,30.0,91.0,1.2986707520125835,3996,0.0,1.0
unigram4k,en,train,8.150244029696621,7.0,16.0,25.0,76.0,1.1615716735630972,3996,0.0,1.0
unigram4k,fr,val,9.652145197754464,9.0,19.0,30.0,66.0,1.3028716418933979,3951,2.6317451628523908e-05,0.9999736825483715
unigram4k,en,val,8.169456651510147,7.0,16.0,25.0,60.0,1.1677135678391959,3897,4.66407758537594e-05,0.9999533592241462
unigram4k,fr,test,9.662727433762685,9.0,19.0,30.0,78.0,1.305090249129295,3950,1.309442125276947e-05,0.9999869055787473
unigram4k,en,test,8.154642305843055,7.0,16.0,25.0,69.0,1.1685057129492307,3879,1.861925789844436e-05,0.9999813807421015
unigram8k,fr,train,8.974564387969172,8.0,17.0,27.0,81.0,1.2069405076373652,7996,0.0,1.0
unigram8k,en,train,7.68876159005185,7.0,15.0,22.0,59.0,1.095801258863243,7996,0.0,1.0
unigram8k,fr,val,9.010491020397795,8.0,17.0,27.0,61.0,1.216259493562379,7345,2.8191567338377746e-05,0.9999718084326616
unigram8k,en,val,7.740950542332411,7.0,14.0,22.339999999996508,56.0,1.1064644029395532,6718,4.9222610898542355e-05,0.9999507773891014
unigram8k,fr,test,9.007186780373004,8.0,17.0,27.0,70.0,1.2165500599837993,7337,1.4047429741780147e-05,0.9999859525702582
unigram8k,en,test,7.723663233545056,7.0,15.0,23.0,61.0,1.1067492938134798,6706,1.9658209268190396e-05,0.9999803417907318
